CLASS,site_no,ref_yr_start,ref_yr_end,ref_por_range,yr_begin,yr_end,yr_total,gagetype,usgs_lon,usgs_lat,huc8
6,11182500,1953,2016,63,1952,2021,69,REF,-121.9946825,37.772983,18050001
6,11183000,1953,1965,12,1952,1973,21,REF,-122.0510736,37.8843691,18050001
6,11197250,1962,1986,24,1961,1986,25,REF,-120.1270849,35.85412696,18030012
6,11199500,1951,2005,54,1942,2005,63,REF,-118.9184294,35.80995236,18030005
6,11220500,1954,1973,19,1953,1973,20,REF,-119.3098459,36.9202264,18030010
6,11269300,1960,1980,20,1959,1980,21,REF,-120.1899102,37.71604127,18040008
6,11274500,1951,2015,64,1932,2021,89,REF,-121.1252081,37.31549247,18040002
6,11274630,1966,2015,49,1965,2021,56,REF,-121.2091026,37.48659935,18040002
6,11337500,1954,1983,29,1953,1983,30,REF,-121.7271752,37.87325835,18040003
6,11371000,1951,1993,42,1950,1993,43,REF,-122.6366845,40.6948699,18020154
6,11372000,1951,1962,11,1940,2021,81,REF,-122.5241795,40.51320587,18020154
6,11375700,1957,1980,23,1956,1980,24,REF,-122.5502903,40.4420952,18020152
6,11449500,1951,2015,64,1946,2021,75,REF,-122.8436046,38.92739984,18020116
6,11451100,1972,2016,44,1971,2021,50,REF,-122.6199862,39.1654458,18020116
6,11460100,1966,1986,20,1965,1986,21,REF,-122.5360868,37.8971482,18050002
6,11464500,1951,1980,29,1941,1980,39,REF,-123.0922252,38.74963216,18010110
6,11473100,1962,1970,8,1961,1969,8,REF,-123.1413996,39.82487658,18010104
6,11480800,1958,1974,16,1957,1974,17,REF,-123.9417258,40.88624107,18010102
6,11522300,1958,1965,7,1957,1965,8,REF,-123.2511584,41.22207858,18010210
6,11525530,2003,2016,13,2002,2021,19,REF,-122.8347458,40.7245899,18010211
6,11525670,2005,2016,11,2004,2021,17,REF,-122.9144689,40.65181225,18010211
6,11528700,1966,2015,49,1965,2021,56,REF,-123.4942046,40.6498627,18010212
7,11116000,1951,1983,32,1928,1983,55,REF,-119.3065034,34.49249174,18070101
7,11120510,1971,1981,10,1970,2000,30,REF,-119.822083,34.43027415,18060013
7,11120520,1971,2013,42,1970,2021,51,REF,-119.8402778,34.4486111,18060013
7,11120550,1967,1986,19,1966,1986,20,REF,-120.2270947,34.48776644,18060013
7,11132500,1951,1988,37,1941,2021,80,REF,-120.4084938,34.5885957,18060010
7,11138500,1951,2015,64,1929,2020,91,REF,-120.1682063,34.83970289,18060008
7,11172100,1962,1987,25,1961,1987,26,REF,-121.8282872,37.395217100000004,18050003
7,11172945,1995,2015,20,1994,2021,27,REF,-121.7735644,37.4974356,18050004
7,11173200,1969,2015,46,1968,2021,53,REF,-121.769397,37.46160337,18050004
7,11176400,1964,2016,52,1963,2021,58,REF,-121.6838389,37.56132196,18050004
7,11224500,1951,2015,64,1945,2021,76,REF,-120.4707116,36.21467719,18030012
7,11253310,1967,2015,48,1966,2021,55,REF,-120.4334917,36.40217399,18030009
8,10255800,1951,1983,32,1950,1983,33,REF,-116.4275137,33.3736453,18100203
8,11023250,1978,1987,9,1977,1987,10,REF,-117.0147528,32.95365699,18070304
8,11023310,1978,1989,11,1977,1989,12,REF,-117.0497537,32.9519902,18070304
8,11023325,1977,1989,12,1976,1989,13,REF,-117.0666984,32.93976827,18070304
8,11046300,1953,2016,63,1952,2021,69,REF,-117.4730986,33.47085987,18070301
8,11046500,1951,1962,11,1928,1969,41,REF,-117.6250493,33.51891459,18070301
8,11048553,2002,2014,12,2001,2014,13,REF,-117.8275553,33.65724307,18070204
8,11058600,1951,2016,65,1911,2021,110,REF,-117.2722222,34.1858333,18070203
8,11077000,1951,1963,12,1920,1963,43,REF,-117.7767213,33.82279419,18070203
8,11084500,1951,1979,28,1916,1979,63,REF,-117.92423,34.1658396,18070106
8,11098000,1951,2015,64,1910,2021,111,REF,-118.1775727,34.22222629,18070105
8,11100000,1951,1971,20,1916,1970,54,REF,-118.0172888,34.1916716,18070105
8,11120530,1971,1991,20,1970,1991,21,REF,-119.8687502,34.43471754,18060013
8,11134800,1971,1981,10,1970,2009,39,REF,-120.4648857,34.6316501,18060010
8,11257500,1951,1971,20,1911,1990,79,REF,-119.7748763,37.2371691,18040007
8,11258000,1951,1971,20,1941,1990,49,REF,-119.8896013,37.09744734,18040007
8,11259000,1951,1973,22,1921,1990,69,REF,-119.991276,37.21550105,18040001
8,11284400,1970,2015,45,1969,2021,52,REF,-120.1849103,37.8418714,18040009
8,11299600,1984,2015,31,1983,2021,38,REF,-120.6152035,37.96103615,18040010
8,11334300,1958,1980,22,1957,1980,23,REF,-120.7932682,38.5568511,18040013
8,11374000,1951,1981,30,1949,2021,72,REF,-122.2330577,40.50487467,18020151
8,11379000,1951,1982,31,1940,1982,42,REF,-122.1183272,40.2037674,18020156
8,11451715,1998,2015,17,1997,2021,24,REF,-122.3427535,38.95767446,18020116
9,10360900,1961,1982,21,1960,1982,22,REF,-120.1749508,41.8823902,18080001
9,11355500,1969,1988,19,1926,2021,95,REF,-121.4228056,40.6891111,18020003
