CLASS,gage,site_id,minYr,maxYr,YrRange,yr_begin,yr_end,yr_total,gagetype
8,11023325,11023325,1977,1989,12,1976,1989,13,REF
8,11046300,11046300,1953,2016,63,1952,2021,69,REF
8,11046500,11046500,1951,1962,11,1928,1969,41,REF
8,11048553,11048553,2002,2014,12,2001,2014,13,REF
8,11058600,11058600,1951,2016,65,1911,2021,110,REF
8,11077000,11077000,1951,1963,12,1920,1963,43,REF
8,11084500,11084500,1951,1979,28,1916,1979,63,REF
8,11098000,11098000,1951,2015,64,1910,2021,111,REF
8,11100000,11100000,1951,1971,20,1916,1970,54,REF
8,11120530,11120530,1971,1991,20,1970,1991,21,REF
8,11134800,11134800,1971,1981,10,1970,2009,39,REF
8,11257500,11257500,1951,1971,20,1911,1990,79,REF
8,11258000,11258000,1951,1971,20,1941,1990,49,REF
8,11259000,11259000,1951,1973,22,1921,1990,69,REF
8,11284400,11284400,1970,2015,45,1969,2021,52,REF
8,11299600,11299600,1984,2015,31,1983,2021,38,REF
8,11334300,11334300,1958,1980,22,1957,1980,23,REF
8,11374000,11374000,1951,1981,30,1949,2021,72,REF
8,11379000,11379000,1951,1982,31,1940,1982,42,REF
8,11451715,11451715,1998,2015,17,1997,2021,24,REF
9,10360900,10360900,1961,1982,21,1960,1982,22,REF
9,11355500,11355500,1969,1988,19,1926,2021,95,REF
