comid,metric,p10,p25,p50,p75,p90,source,result_type,gageid
22592131,Peak_2,2.39933424170259,6.9649218767265495,18.3878643475498,19.1279373812427,22.8144255282035,model,predicted,10259000
22592131,Peak_5,9.378645,48.63403,59.45504,67.69023,80.23303,model,predicted,10259000
22592131,DS_Dur_WS,78.3933333333333,97,109.6,125.85,164.3525,model,predicted,10259000
22592131,DS_Mag_50,0.498322520929244,0.78262564973861,0.862732608486482,1.02738666918002,1.283614282589,model,predicted,10259000
22592131,DS_Mag_90,0.834651916257148,1.12961808710305,1.26,1.48507862869827,1.92803995037287,model,predicted,10259000
22592131,DS_Tim,275.89,302.489583333333,311.666666666667,317.375,330.215,model,predicted,10259000
22592131,FA_Dur,2,3,4,6,8,obs,predicted,10259000
22592131,FA_Mag,1.02375738429442,1.61341103442847,2.58565326234151,4.81667311835001,7.64743401019852,model,predicted,10259000
22592131,FA_Tim,8.9,26.15,44.6,56.5,63.81,model,predicted,10259000
22592131,Peak_Dur_10,1,1,1,2,4,obs,predicted,10259000
22592131,Peak_Fre_10,1,1,1,1,2,obs,predicted,10259000
22592131,SP_Dur,111.036666666666,143.383333333333,154.1,163.4125,181.025,model,predicted,10259000
22592131,SP_Mag,3.01528644644366,4.8664281535543,6.14,7.06655216626063,17.8171642139759,model,predicted,10259000
22592131,SP_ROC,0.03845705116239,0.0486334288519571,0.0625000000000001,0.0813201980740652,0.114111705288176,obs,predicted,10259000
22592131,SP_Tim,142.923333333334,154.5,155.8375,160.75,190.71,model,predicted,10259000
22592131,Wet_BFL_Dur,59.2375,85.36875,101.8,115.333333333333,139.713333333333,model,predicted,10259000
22592131,Wet_BFL_Mag_10,0.932598691480712,1.20895,1.33054524659924,1.44627725349914,1.88910145750155,model,predicted,10259000
22592131,Wet_BFL_Mag_50,1.32875359712143,1.76699731196241,2.04385403637063,2.1567132594447598,2.68451209798629,model,predicted,10259000
22592131,Wet_Tim,27.59,37.5,44.6,57.75,88.85,model,predicted,10259000
10744456,Peak_10,465.022587394758,563.3925850037381,591.131480513778,731.989645322541,1488.6093904538095,model,predicted,10295500
10744456,Peak_2,184.796628083871,263.00585645758497,288.51588045177397,359.112374959099,497.51597606190103,model,predicted,10295500
10744456,Peak_5,352.5075,441.8,465.2389,623.3472,1045.965,model,predicted,10295500
10744456,DS_Dur_WS,183.53,202.4375,215,223.80625,234.371666666666,model,predicted,10295500
10744456,DS_Mag_50,14.1239799205512,16.3001338531044,17.3035105742323,20.0246907384592,23.8761999239002,model,predicted,10295500
10744456,DS_Mag_90,19.8642213467079,24.0692744914972,27.9005154369693,34.1120441138074,44,model,predicted,10295500
10744456,DS_Tim,311.3275,319.89375,329.475,335.433333333334,344.91,model,predicted,10295500
10744456,FA_Mag,26.3218930796519,38.3375480906843,45.8435469197526,67.0103235355095,97.5242307571183,model,predicted,10295500
10744456,FA_Tim,5.5,24.5416666666667,40.5625,49.3854166666667,60,model,predicted,10295500
10744456,SP_Dur,52.3916666666667,59,65.4125,72.3333333333333,80.25,model,predicted,10295500
10744456,SP_Mag,148.465631688879,188.505094701006,215.785894708746,257.814327491227,314.043075830762,model,predicted,10295500
10744456,SP_Tim,250.89,255,260,263.5,271.1025,model,predicted,10295500
10744456,Wet_BFL_Dur,68.29,79.1,89,96.9,109.85,model,predicted,10295500
10744456,Wet_BFL_Mag_10,20.5689361257554,23.6460086799385,26.0749711973246,29.259916002751,37.2020891183301,model,predicted,10295500
10744456,Wet_BFL_Mag_50,58.5297046385913,67.6439048381278,76.6418987310528,97.0557663629868,132.999979345392,model,predicted,10295500
10744456,Wet_Tim,152.99,165.875,173.5,179.410416666666,189.129166666666,model,predicted,10295500
8922761,Peak_10,14.3306643354072,15.1199999999999,25.5607446329029,66.4672054125164,160.02649651296002,model,predicted,10308783
8922761,Peak_2,1.89999999999999,1.89999999999999,9.21720414346251,36.343898029082496,86.17495931297242,model,predicted,10308783
8922761,Peak_5,11.35491,11.694,18.25426,59.67527,112.6429,model,predicted,10308783
8922761,DS_Dur_WS,141.85,176.7,201.183333333334,226.725,240,model,predicted,10308783
8922761,DS_Mag_50,0.0746561885510774,0.0932439226256778,0.228254917591175,0.971426224070408,1.5708518821606,model,predicted,10308783
8922761,DS_Mag_90,0.18,0.589228967507249,1.40765310185105,2.66744798449043,4.58799390167631,model,predicted,10308783
8922761,DS_Tim,278.9,288.8,300,311.2125,328,model,predicted,10308783
8922761,FA_Mag,1.33210594158664,2.27363203718424,3.53955803788106,5.55670057667725,8.67501180786036,model,predicted,10308783
8922761,FA_Tim,7.16666666666667,22,38,50.03125,61.55,model,predicted,10308783
8922761,SP_Dur,52.3125,63.5,75,95.3,104.73,model,predicted,10308783
8922761,SP_Mag,5.64656503965454,10.3749804977817,15.238118512426,21.3043599204508,33.8257085635638,model,predicted,10308783
8922761,SP_Tim,199,213.65625,222.95,233.275,246.425,model,predicted,10308783
8922761,Wet_BFL_Dur,56.46,70.4,89.5833333333333,110.88125,143.6,model,predicted,10308783
8922761,Wet_BFL_Mag_10,0.132912491924353,0.186759867834245,0.488118942398162,1.63790386811385,2.80731230461283,model,predicted,10308783
8922761,Wet_BFL_Mag_50,1.73651296880932,2.95691210062173,4.31323047630939,6.31792402761954,11.2409835403776,model,predicted,10308783
8922761,Wet_Tim,94.55,126.75,139.666666666667,152.84375,168.675,model,predicted,10308783
8924041,Peak_10,1082.56245617286,1558.04940206347,1690.06233857269,1708,2214.93530754844,model,predicted,10310000
8924041,Peak_2,429.795358213432,510.947213441967,551.999999999999,626.185641906937,1010.96770524411,model,predicted,10310000
8924041,Peak_5,718.8526,979.8594,1099.009,1148.951,1445.594,model,predicted,10310000
8924041,DS_Dur_WS,184.495,201.15,209.7,214.25,227,model,predicted,10310000
8924041,DS_Mag_50,20.1190791435225,25.2439843784381,27.1995651080233,29.0000000000001,33.9275149949873,model,predicted,10310000
8924041,DS_Mag_90,30.0718104814175,43.8489771300485,45.6126318575675,51.1859770946896,59.5058643125652,model,predicted,10310000
8924041,DS_Tim,296.785,306.11875,311.3,314.166666666667,332.01,model,predicted,10310000
8924041,FA_Mag,38.5478129150621,51.9768951837134,62.0848793743296,94.2576911519638,125.866767467196,model,predicted,10310000
8924041,FA_Tim,12.4125,26,40,44.5,54.2175,model,predicted,10310000
8924041,SP_Dur,56.99,69.125,71.775,76.1666666666667,85.3875,model,predicted,10310000
8924041,SP_Mag,392.766950596339,442.872679109059,457.183191955079,557.755321199013,699.070147347183,model,predicted,10310000
8924041,SP_Tim,232.666666666667,236.1,236.75,240.641666666667,248.1,model,predicted,10310000
8924041,Wet_BFL_Dur,70.9875,80.0333333333334,83.3333333333333,87.5,100.26,model,predicted,10310000
8924041,Wet_BFL_Mag_10,30.1033167107721,35.8678833873367,37.9284978886802,42.3026091315446,55.0360836884917,model,predicted,10310000
8924041,Wet_BFL_Mag_50,128.832263449784,161.896311611905,174.5,187.736765202557,235.768725635249,model,predicted,10310000
8924041,Wet_Tim,143.735,150.691666666666,152.5,156,165.875,model,predicted,10310000
8943705,Peak_10,353.498133523398,429.01104395465103,489.000000000002,514.2788756787901,1130.83678315283,model,predicted,10336580
8943705,Peak_2,168.749389071961,253.889301167658,314.460949573489,319.058495852232,334.716607044181,model,predicted,10336580
8943705,Peak_5,293.3771,386.4146,447,477.3525,565.4435,model,predicted,10336580
8943705,DS_Dur_WS,172.0125,191.125,209.325,223.8,236.5225,model,predicted,10336580
8943705,DS_Mag_50,3.17010265175674,3.98445018134384,5.13474244922675,6.57047248570126,8.9213182634791,model,predicted,10336580
8943705,DS_Mag_90,6.76857662420946,9.38635691647119,12.0194839696343,15.8552400508485,23.9693301675779,model,predicted,10336580
8943705,DS_Tim,298.666666666667,306.825,314.708333333333,328.616666666667,341,model,predicted,10336580
8943705,FA_Mag,7.87682447293581,12.7396259142689,17.3307493311788,28.4453646332019,50.1430083371795,model,predicted,10336580
8943705,FA_Tim,12.5,25,35.8666666666666,44,53.675,model,predicted,10336580
8943705,SP_Dur,47.99,56.3375,64.3958333333333,74,86.5,model,predicted,10336580
8943705,SP_Mag,135.608490497639,171.72271440652,215.665396080679,253.63054767348,318.573076475437,model,predicted,10336580
8943705,SP_Tim,236.9925,244,250,253.09375,261.803333333334,model,predicted,10336580
8943705,Wet_BFL_Dur,63.5,74,83,94.525,113.926666666667,model,predicted,10336580
8943705,Wet_BFL_Mag_10,6.94764178374967,9.41148007552807,13.0002883052128,17.3689471603571,23.2573652566422,model,predicted,10336580
8943705,Wet_BFL_Mag_50,32.602463746746,42.089973157394,57.1652694100931,77.9399084229506,96.8589469067716,model,predicted,10336580
8943705,Wet_Tim,133.866666666667,154.375,162.041666666667,175.708333333333,183.8,model,predicted,10336580
8943685,Peak_10,657.586001860564,825.0372700352871,862,871.480330254756,1124.45367463491,model,predicted,10336600
8943685,Peak_2,283.436070991626,466.202070043372,519.1027432496579,592.079299074776,741.142091703763,model,predicted,10336600
8943685,Peak_5,550.2445,673.0607,710,751.47260000000006,1046.92,model,predicted,10336600
8943685,DS_Dur_WS,175.55,195.46875,210.55,221.847916666666,237.8875,model,predicted,10336600
8943685,DS_Mag_50,5.72801414334406,8.77110468760729,10.0872901351492,12.2508865175894,15.4902925311662,model,predicted,10336600
8943685,DS_Mag_90,14.3057680335978,18.3764839631253,22.3345751654371,28.0990795064909,39.9437314013716,model,predicted,10336600
8943685,DS_Tim,293.89,305.275,310.5,321.425,332.365,model,predicted,10336600
8943685,FA_Mag,16.0347776207814,24.0243870843141,37.4878598257373,53.0498679074037,82.2684010730195,model,predicted,10336600
8943685,FA_Tim,16,27.5625,36,42.625,51.5333333333333,model,predicted,10336600
8943685,SP_Dur,48.645,55.425,63.1666666666667,70.6666666666667,81.175,model,predicted,10336600
8943685,SP_Mag,262.072959796131,316.096118077808,396.747284637735,436.097918983512,568.814403996982,model,predicted,10336600
8943685,SP_Tim,236.77,243,246.5,252,256.871666666666,model,predicted,10336600
8943685,Wet_BFL_Dur,66,75.15,83.1458333333333,96.03125,115.873333333334,model,predicted,10336600
8943685,Wet_BFL_Mag_10,15.2493921313825,19.2151819910542,22.7138511798064,29.4913839888411,41.8408670296605,model,predicted,10336600
8943685,Wet_BFL_Mag_50,65.8873854453944,85.9679079766703,106.564513471698,136.067633206506,174.281024499873,model,predicted,10336600
8943685,Wet_Tim,136.405,149.25,158.9,163.75,172.743333333334,model,predicted,10336600
8941733,Peak_10,185.295716883068,292.528762820262,379.19785628245904,390.72625711059504,449.565722747075,model,predicted,10336645
8941733,Peak_2,66.2865483894417,115.439172749871,161,164.295903359609,172.772361130187,model,predicted,10336645
8941733,Peak_5,114.0194,181.314,256.7534,262.4066,291.8009,model,predicted,10336645
8941733,DS_Dur_WS,176.320833333333,206.864583333333,226.5,239.55,248,model,predicted,10336645
8941733,DS_Mag_50,0.894550582504543,1.19129196956497,1.38266950117842,1.89201991830484,2.87793461921403,model,predicted,10336645
8941733,DS_Mag_90,2.00802298073647,3.03470578385179,4.42432360678296,6.18542300071953,9.28236383682506,model,predicted,10336645
8941733,DS_Tim,273,279.4,284.25,290.689583333334,300.51,model,predicted,10336645
8941733,FA_Mag,2.80776644186091,3.74044847446392,5.22597466469645,8.3003173629473,13.7266254330315,model,predicted,10336645
8941733,FA_Tim,13,25,33.2916666666667,43.6354166666667,54.35,model,predicted,10336645
8941733,SP_Dur,36,43,47.3666666666667,54.8,61.6708333333333,model,predicted,10336645
8941733,SP_Mag,54.5590000670914,78.0653621920726,100.519290470879,125.7995591095,157.495771577923,model,predicted,10336645
8941733,SP_Tim,220.75,231,237.25,242,247.675,model,predicted,10336645
8941733,Wet_BFL_Dur,61.3625,71.15625,85.5,98.025,120.94,model,predicted,10336645
8941733,Wet_BFL_Mag_10,5.18588235630993,6.87321370444172,9.84254020832344,12.35,14.8343478586648,model,predicted,10336645
8941733,Wet_BFL_Mag_50,15.204617920639,20.0230685963392,26.9586938700155,34.6387151988842,43.7840109051455,model,predicted,10336645
8941733,Wet_Tim,124.860833333334,143.133333333333,154.1625,162,172.529166666667,model,predicted,10336645
8941693,Peak_10,390.8423868074,733.491624397624,962.530832918609,990.052999542301,1040.30237482117,model,predicted,10336660
8941693,Peak_2,199.67621160062697,261.94861772818297,273.36069551656203,277.373233600587,289.646911874058,model,predicted,10336660
8941693,Peak_5,268.7978,421.716,545.9362,562.9015,603.5505,model,predicted,10336660
8941693,DS_Dur_WS,183.079166666666,206.35625,214.25,221.88125,234.625,model,predicted,10336660
8941693,DS_Mag_50,2.54419738026432,3.33675632746803,3.61582036178817,3.92475596671362,4.60516180945408,model,predicted,10336660
8941693,DS_Mag_90,5.38640247563446,7.76493565127176,9.71188853874379,11.2411060110538,14.8123638361046,model,predicted,10336660
8941693,DS_Tim,295.720833333334,303.083333333333,306,308.60625,314.8775,model,predicted,10336660
8941693,FA_Mag,7.22947311316565,10.2269708754018,14.8277005906157,19.4832734663882,25.4060740186709,model,predicted,10336660
8941693,FA_Tim,16.1,25.6,33.5,41.7125,48.8033333333333,model,predicted,10336660
8941693,SP_Dur,53,57.3229166666667,60.775,63.975,70.01,model,predicted,10336660
8941693,SP_Mag,117.65581211564,157.660401530586,189.552024191719,208.208572304698,254.490050400059,model,predicted,10336660
8941693,SP_Tim,234.35,241.025,244,246.25,251.91,model,predicted,10336660
8941693,Wet_BFL_Dur,68.53,82.15625,88.05,95.5,111.8625,model,predicted,10336660
8941693,Wet_BFL_Mag_10,13.6042622436039,17.3792739792676,20,22.3347737308767,29.3281347867173,model,predicted,10336660
8941693,Wet_BFL_Mag_50,35.4641401423946,46.3915031078151,59.4730235748581,65.5,78.3077408511388,model,predicted,10336660
8941693,Wet_Tim,140.1425,151.364583333333,157.458333333333,163,168.583333333333,model,predicted,10336660
8941685,Peak_10,526.068102114239,666.101388622573,700.000000000001,777.913420679886,898.928812475952,model,predicted,10336676
8941685,Peak_2,167.215374476898,213.514927998206,223,228.622315691766,283.652614376468,model,predicted,10336676
8941685,Peak_5,322.2011,343.7177,354.4,391.1407,502.1475,model,predicted,10336676
8941685,DS_Dur_WS,170.975,196,210.25,218.425,233.8375,model,predicted,10336676
8941685,DS_Mag_50,1.51678548119075,2.21384540519787,2.61967158249597,3.03049947842475,3.97459820981368,model,predicted,10336676
8941685,DS_Mag_90,4.09377072534783,6.03872511942319,6.99347938019307,9.02716537683367,13.3567283863057,model,predicted,10336676
8941685,DS_Tim,294.594166666667,302.266666666666,307.2,310.7,319.39,model,predicted,10336676
8941685,FA_Mag,5.50306422763237,7.58893096794661,10.5530481924929,16.5474532691591,26.5101333478065,model,predicted,10336676
8941685,FA_Tim,13.6125,25,32.375,37.875,46.7275,model,predicted,10336676
8941685,SP_Dur,52.5,58.175,63,69.3125,75.7133333333334,model,predicted,10336676
8941685,SP_Mag,98.5143820302318,139.932905181825,155.929022725595,185.527867801829,227.285893024314,model,predicted,10336676
8941685,SP_Tim,232.325,237.666666666667,242.25,247.3,253,model,predicted,10336676
8941685,Wet_BFL_Dur,63.5,75.3,86.025,98.8333333333333,127.2,model,predicted,10336676
8941685,Wet_BFL_Mag_10,8.68292748114212,12.0149857680727,14.7748088469575,18.7889274183305,25.7964903172693,model,predicted,10336676
8941685,Wet_BFL_Mag_50,26.286848779082,33.4049830784613,43.5517582526235,54.3403224466291,66.5765248007306,model,predicted,10336676
8941685,Wet_Tim,123.5875,150.5,156.5,163.15,173.75,model,predicted,10336676
8944527,Peak_10,65.8197275882316,79.152556820491,87.9999999999999,117.015401702358,189.660663260586,model,predicted,10336770
8944527,Peak_2,32.288772067962796,49.091167766901904,57,59.69268444550139,80.53845224949859,model,predicted,10336770
8944527,Peak_5,61.786069999999995,76.05141,81.91219,100.9773,153.8741,model,predicted,10336770
8944527,DS_Dur_WS,159.4425,185.5,202.2,223.9,238.505,model,predicted,10336770
8944527,DS_Mag_50,2.59228458117225,3.32816563013241,4.16711319466538,4.72935366378534,6.39538077210588,model,predicted,10336770
8944527,DS_Mag_90,2.94440895163907,4.0325830206201,5.34899449694484,6.68070171038068,8.7893917232375,model,predicted,10336770
8944527,DS_Tim,301.333333333333,310.78125,320.25,334.80625,345.5,model,predicted,10336770
8944527,FA_Mag,3.35360754907443,5.23310903746374,8.21798495603942,11.0745122739015,14.6184038941041,model,predicted,10336770
8944527,FA_Tim,11.1025,27.875,41.05,50.25,61.35,model,predicted,10336770
8944527,SP_Dur,51,59.75,70.175,81.10625,92,model,predicted,10336770
8944527,SP_Mag,23.6144813244908,33.0315692838447,42.289072664158,54.7709355738468,67.1405896566935,model,predicted,10336770
8944527,SP_Tim,235.5925,245.85625,252.2,255.625,263,model,predicted,10336770
8944527,Wet_BFL_Dur,64.235,75.5833333333333,86,99,120.771666666667,model,predicted,10336770
8944527,Wet_BFL_Mag_10,2.83432291642058,3.54410896835397,4.44609259817473,5.28091644180414,6.10006444808882,model,predicted,10336770
8944527,Wet_BFL_Mag_50,7.96514607888579,10.3345098093956,13.3375279817904,16.8243463363661,21.1251040819557,model,predicted,10336770
8944527,Wet_Tim,134.24,152.1875,163.591666666667,171.45,181.6625,model,predicted,10336770
8944453,Peak_10,283.113408349731,326.39611240457003,349.95000470315,440.017598358221,931.607886580894,model,predicted,10336780
8944453,Peak_2,70.7029179454582,93.50479509921009,103.198429389739,236.797983746699,309.134150023038,model,predicted,10336780
8944453,Peak_5,227.0787,254.776,277.7048,387.0479,592.6737,model,predicted,10336780
8944453,DS_Dur_WS,155.893333333333,178.5,193,205.275,223,model,predicted,10336780
8944453,DS_Mag_50,11.1222332593487,13.9622444232102,16.4365205314006,17.9695496342537,22.7137309362007,model,predicted,10336780
8944453,DS_Mag_90,12.8942149898607,16.3428397793537,21.095988053943,26.5088757845786,33.508692426615,model,predicted,10336780
8944453,DS_Tim,308.893333333333,322,331.15,333.2625,340.343333333333,model,predicted,10336780
8944453,FA_Mag,16.4047976343041,24.2213851210585,37.0933952448199,47.4264402725257,59.3635283632706,model,predicted,10336780
8944453,FA_Tim,13.6966666666667,30.8125,42,48,60,model,predicted,10336780
8944453,SP_Dur,57.5925,68.8625,73,78.225,89,model,predicted,10336780
8944453,SP_Mag,77.2397601602956,102.739228591647,110.618078961648,141.938254175112,200.518554007789,model,predicted,10336780
8944453,SP_Tim,239.858333333334,247.75,252,253.5,257.55,model,predicted,10336780
8944453,Wet_BFL_Dur,73.49,86.7854166666666,98,108.38125,126.033333333334,model,predicted,10336780
8944453,Wet_BFL_Mag_10,13.2710106554376,16.4800077524745,18.5,21.0149627215459,25.8238995787891,model,predicted,10336780
8944453,Wet_BFL_Mag_50,34.1577962046488,39.2967156767668,43.8487734064323,57.354710266692,71.3122120584521,model,predicted,10336780
8944453,Wet_Tim,131.48,145.291666666667,148.225,156.195833333333,167.84,model,predicted,10336780
8933522,Peak_10,193.620359595507,244.476131369721,264.224601501535,351.496294824988,498.83846746387496,model,predicted,10343500
8933522,Peak_2,53.8827889357464,59.5,62.916143082675895,89.6822842427907,155.730939683913,model,predicted,10343500
8933522,Peak_5,130.4689,162.0883,170.3485,185.6305,341.8843,model,predicted,10343500
8933522,DS_Dur_WS,170.7375,194.11875,208.666666666667,218.9375,235.01,model,predicted,10343500
8933522,DS_Mag_50,2.11553859482535,2.685956063015,2.909277998605,3.24172622503937,3.91133181074689,model,predicted,10343500
8933522,DS_Mag_90,3.1175659296668,4.15436626095028,4.69018402278572,5.17702535042956,7.70303970401683,model,predicted,10343500
8933522,DS_Tim,289.245,299.1,301.5,305.2375,313.6525,model,predicted,10343500
8933522,FA_Mag,5.9583542257685,7.59491998984758,9.06999146239427,12.5037241237196,16.6458629510426,model,predicted,10343500
8933522,FA_Tim,14.75,28.8,35.5,41.5833333333333,48,model,predicted,10343500
8933522,SP_Dur,59.9875,66.9,68.8166666666666,71.6666666666667,81.755,model,predicted,10343500
8933522,SP_Mag,33.4956778121098,46.9766866452655,52.0399846138489,58.6375592565758,77.5439280385868,model,predicted,10343500
8933522,SP_Tim,226.75,232,233.1,236,243,model,predicted,10343500
8933522,Wet_BFL_Dur,64.45,75.925,80,83.7875,111.841666666666,model,predicted,10343500
8933522,Wet_BFL_Mag_10,4.68928691112685,5.87556714635242,6.70825425741192,8.05911444308759,9.65608106196099,model,predicted,10343500
